id,label,modularity_class,eccentricity,closness_centrality,harmonic_closness_centrality,betweeness_centrality,eigen_centrality,pageranks,clustering_coefficient,triangles
n169,book,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n170,dealing,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n171,diagnostics,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n172,edition,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n173,elucidate,3,4,0.351042367,0.381704981,0,0.107541078,0.0016,1,171
n174,planning,4,5,0.334615385,0.385791826,0.009852342,0.144023318,0.003078735,0.513513514,342
n175,http,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n176,march,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n177,videos,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n178,plan,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n179,actions,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n180,materials,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n181,space,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n182,accomplishment,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n183,aiai,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n184,aiplanmooc,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n185,break,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n186,deliberate,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n187,exam,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n188,graphplan,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n189,heuristics,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n190,htn,4,5,0.313137373,0.348435504,0,0.08008195,0.001706528,1,171
n191,agents,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n192,driving,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n193,adversarial,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n194,affects,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n195,arbitrary,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n196,autonomous,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n197,cameras,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n198,computation,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n199,csx,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n200,directions,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n201,english,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n202,fiction,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n203,filter,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n204,foreign,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n205,handwritten,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n206,headed,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n207,household,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n208,inferences,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n209,join,5,5,0.276923077,0.308876117,0,0.055934335,0.001829541,1,171
n210,3d print,6,4,0.35925671,0.404533844,8.35E-04,0.208648001,0.002561674,0.628787879,332
n211,revolutionize,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n212,illinois,6,4,0.35925671,0.404533844,8.35E-04,0.208648001,0.002561674,0.628787879,332
n213,mba,6,4,0.35925671,0.404533844,8.35E-04,0.208648001,0.002561674,0.628787879,332
n214,revolutionary,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n215,courses,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n216,orientation,6,4,0.35925671,0.404533844,8.35E-04,0.208648001,0.002561674,0.628787879,332
n217,specialization,2,4,0.419277108,0.469667944,0.013622626,0.40762162,0.003516779,0.418367347,492
n218,learners,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n219,objects,6,4,0.35925671,0.404533844,8.35E-04,0.208648001,0.002561674,0.628787879,332
n220,technology,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n221,appreciation,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n222,customize,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n223,economy,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n224,engaging,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n225,informative,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n226,interviews,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n227,preview,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n228,solid,6,4,0.340508806,0.372765006,0,0.129345955,0.001590748,1,171
n229,countries,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n230,customization,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n231,individuals,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n232,ideas,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n233,manufacturing,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n234,developing,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n235,demand,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n236,education,6,4,0.396958175,0.443326948,0.014413515,0.232547663,0.002989259,0.487908962,343
n237,addition,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n238,capabilities,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n239,development,6,4,0.409090909,0.465996169,0.012370253,0.36512921,0.003953014,0.35988819,515
n240,finally,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n241,overview,6,4,0.355828221,0.391123883,0,0.14047396,0.00157119,1,171
n242,iot,10,4,0.38752784,0.455779055,0.011469839,0.447480789,0.004628183,0.325,676
n243,devices,10,3,0.423701299,0.472541507,0.016132015,0.384963575,0.00365744,0.397647059,507
n244,embedded,10,4,0.331428571,0.365421456,0,0.160254003,0.001517502,1,171
n245,internet of things,10,3,0.442372881,0.512132822,0.053850605,0.582975375,0.006141261,0.233360064,873
n246,hardware,10,4,0.331428571,0.365421456,0,0.160254003,0.001517502,1,171
n247,interface,10,4,0.375,0.420977011,0.002010061,0.266715254,0.002450753,0.632575758,334
n248,society,10,4,0.331428571,0.365421456,0,0.160254003,0.001517502,1,171
